District,Village,Year,BNursery,BPrimary,BSecondary,BTertiary,GNursery,GPrimary,GSecondary,GTertiary,Goats,Cows,Ag Biz,Other Biz,Homes with Iron Sheets,# of Motorcycles,# of TVs,# of People,# of HH,Biz Score,LIfestyle Score,Waterborne Illness,Edu Score,Ag Score,Livestock Score,Score,Treated,Time Treated
Zomba,Chilipo,2014,12,40,3,0,8,35,3,0,17,4,14,3,4,0,2,1380,166,17,6,112,101,600,21,5,0,0
Zomba,Chilipo,2015,6,35,4,0,5,38,4,0,22,2,16,3,2,0,0,1380,166,19,2,72,92,350,24,7,0,0
Zomba,Chilipo,2016,0,49,5,0,0,30,8,0,13,2,17,4,3,1,0,1380,166,21,4,133,92,200,15,1,0,0
Zomba,Mlenga,2014,14,19,3,0,18,24,1,0,16,0,1,12,12,0,0,1208,175,13,12,142,79,1125,16,16,1,0
Zomba,Mlenga,2015,26,22,3,0,30,34,4,0,24,0,7,14,18,0,0,1208,175,21,18,19,119,225,24,13,1,1
Zomba,Mlenga,2016,30,34,4,0,35,38,2,0,32,0,16,17,25,1,1,1208,175,33,27,7,143,117,32,15,1,1
Zomba,Khando,2014,15,84,3,0,11,63,4,1,42,0,28,4,6,0,0,840,81,32,6,72,181,540,42,26,0,0
Zomba,Khando,2015,20,93,8,0,26,76,5,0,68,0,17,13,13,0,1,840,81,30,14,60,228,186,68,26,0,0
Zomba,Khando,2016,38,103,6,0,40,98,3,0,24,2,26,12,4,0,0,840,81,38,4,57,288,162,26,24,0,0
Zomba,Chikumbu,2014,30,40,5,0,35,53,5,0,23,0,21,17,12,0,2,2530,210,38,14,290,168,2100,23,14,1,0
Zomba,Chikumbu,2015,35,47,1,1,30,20,6,0,35,0,47,23,18,0,3,2530,210,70,21,178,140,1420,35,13,1,1
Zomba,Chikumbu,2016,17,50,3,0,43,45,14,0,74,0,60,52,22,0,6,2530,210,112,28,74,172,1410,74,21,1,1
Zomba,Kusapa,2014,5,47,3,0,7,20,3,0,15,0,6,7,10,3,1,1420,178,13,14,120,85,480,15,6,0,0
Zomba,Kusapa,2015,6,40,2,0,7,19,3,0,17,0,8,8,15,2,5,1420,178,16,22,111,77,250,17,4,0,0
Zomba,Kusapa,2016,7,48,3,0,8,17,3,0,18,0,4,10,29,2,5,1420,178,14,36,96,86,132,18,4,0,0
Zomba,Mahambuwa,2014,8,30,0,0,5,21,2,0,8,0,16,15,3,0,1,1021,174,31,4,176,66,195,8,-3,0,0
Zomba,Mahambuwa,2015,2,51,1,0,2,17,1,0,10,0,18,13,10,0,1,1021,174,31,11,156,74,154,10,0,0,0
Zomba,Mahambuwa,2016,3,51,2,0,4,22,1,0,14,0,13,10,19,0,1,1021,174,23,20,132,83,145,14,2,0,0
Zomba,Mapota,2014,3,50,3,0,4,45,7,0,5,0,16,1,15,1,3,890,176,17,19,250,112,100,5,-9,0,0
Zomba,Mapota,2015,4,56,3,0,5,49,6,0,9,0,10,2,20,0,0,890,176,12,20,150,123,150,9,1,0,0
Zomba,Mapota,2016,2,60,4,0,1,51,3,0,7,0,4,3,25,0,0,890,176,7,25,110,121,80,7,3,0,0
Zomba,Ngwale,2014,13,110,15,0,17,90,5,0,80,0,11,2,60,3,3,1550,140,13,66,123,250,160,80,14,0,0
Zomba,Ngwale,2015,15,80,20,0,13,70,12,0,60,0,7,6,60,3,3,1550,140,13,66,143,210,120,60,10,0,0
Zomba,Ngwale,2016,18,90,25,0,14,75,15,0,35,0,3,5,60,3,3,1550,140,8,66,154,237,80,35,8,0,0
Zomba,Tomasi,2014,6,12,3,0,9,22,3,0,10,1,14,1,7,1,0,726,166,15,8,72,55,105,11,3,0,0
Zomba,Tomasi,2015,8,11,3,0,7,21,2,0,11,1,19,1,9,1,1,726,166,20,11,31,52,84,12,8,0,0
Zomba,Tomasi,2016,6,14,1,0,8,6,3,0,15,2,14,0,7,2,1,726,166,14,10,46,38,56,17,5,0,0
Zomba,Nachuma,2014,10,36,5,0,15,40,5,0,20,2,10,14,9,5,1,2180,285,24,15,247,111,1000,22,5,1,0
Zomba,Nachuma,2015,8,42,10,0,10,50,7,0,30,2,18,20,15,7,3,2180,285,38,25,101,127,700,32,10,1,0
Zomba,Nachuma,2016,17,56,10,0,12,66,15,0,30,3,25,27,40,10,5,2180,285,52,55,34,176,400,33,13,1,1
Zomba,Nakhwala,2014,12,20,1,0,18,34,2,0,48,1,15,12,37,1,1,2200,245,27,39,147,87,900,49,10,1,0
Zomba,Nakhwala,2015,15,30,1,0,25,55,2,1,51,1,20,13,40,1,1,2200,245,33,42,211,129,850,52,9,1,0
Zomba,Nakhwala,2016,16,37,1,0,29,56,3,0,104,1,25,16,47,2,1,2200,245,41,50,195,142,214,105,7,1,1
Zomba,Saiti,2014,9,18,9,1,14,39,14,1,10,0,78,4,5,1,2,2378,213,82,8,216,105,950,10,7,1,0
Zomba,Saiti,2015,15,24,11,0,23,40,14,0,17,0,110,4,10,1,2,2378,213,114,13,228,127,739,17,7,1,0
Zomba,Saiti,2016,21,24,12,2,34,43,16,0,97,0,123,8,17,2,4,2378,213,131,23,163,152,275,97,11,1,1
